Country,Year,Value
Australia,1990,425624.307
Australia,1991,425686.445
Australia,1992,429473.0847
Australia,1993,430381.7307
Australia,1994,430848.498
Australia,1995,439269.8779
Australia,1996,445847.2253
Australia,1997,457864.5104
Australia,1998,472145.8318
Australia,1999,478136.8747
Australia,2000,489528.6493
Australia,2001,497352.0254
Australia,2002,501000.8427
Australia,2003,501128.9763
Australia,2004,518408.4377
Australia,2005,524811.8453
Australia,2006,529240.6412
Australia,2007,535807.5516
Australia,2008,538590.7141
Australia,2009,541475.7925
Australia,2010,536893.7378
Australia,2011,538663.8778
Australia,2012,541899.7403
Australia,2013,532267.3349
Australia,2014,526711.78
Australia,2015,534936.017
Australia,2016,543976.8123
Australia,2017,550874.8679
Australia,2018,552484.0247
Australia,2019,546606.6243
Australia,2020,528149.4564
Austria,1990,78423.22073
Austria,1991,82095.38649
Austria,1992,75464.12166
Austria,1993,75806.34588
Austria,1994,76039.47174
Austria,1995,79283.43014
Austria,1996,82482.78205
Austria,1997,82134.0931
Austria,1998,81452.38067
Austria,1999,79922.2445
Austria,2000,80085.02773
Austria,2001,83989.2397
Austria,2002,85747.07367
Austria,2003,91209.61993
Austria,2004,90856.23561
Austria,2005,92029.49662
Austria,2006,89606.97979
Austria,2007,86841.36196
Austria,2008,86259.02042
Austria,2009,79584.52243
Austria,2010,84150.22505
Austria,2011,82007.45953
Austria,2012,79309.94082
Austria,2013,79772.01877
Austria,2014,76235.15171
Austria,2015,78486.74313
Austria,2016,79468.29681
Austria,2017,81792.15595
Austria,2018,78558.02691
Austria,2019,79740.73841
Austria,2020,73592.01652
Belarus,1990,145461.6107
Belarus,1991,140015.4544
Belarus,1992,126498.1796
Belarus,1993,112569.6337
Belarus,1994,96767.03736
Belarus,1995,88354.30963
Belarus,1996,89110.90364
Belarus,1997,89303.56923
Belarus,1998,90561.8864
Belarus,1999,84637.04311
Belarus,2000,81363.78159
Belarus,2001,80011.30738
Belarus,2002,79299.16314
Belarus,2003,80982.78094
Belarus,2004,84678.7288
Belarus,2005,86601.46502
Belarus,2006,89915.23535
Belarus,2007,88242.40988
Belarus,2008,91663.2783
Belarus,2009,89636.7837
Belarus,2010,91791.63606
Belarus,2011,91198.81573
Belarus,2012,92258.73412
Belarus,2013,94304.91379
Belarus,2014,93264.12188
Belarus,2015,88139.12694
Belarus,2016,87468.22547
Belarus,2017,89069.33323
Belarus,2018,92029.13777
Belarus,2019,92183.17245
Belarus,2020,88802.05819
Belgium,1990,145686.757
Belgium,1991,148406.6207
Belgium,1992,148007.1943
Belgium,1993,146865.8367
Belgium,1994,151469.4752
Belgium,1995,153593.3836
Belgium,1996,157305.3275
Belgium,1997,148839.8927
Belgium,1998,154012.6826
Belgium,1999,147781.8156
Belgium,2000,148879.1611
Belgium,2001,147320.4707
Belgium,2002,147403.7275
Belgium,2003,147701.4369
Belgium,2004,148537.1343
Belgium,2005,145549.7331
Belgium,2006,142712.5809
Belgium,2007,139072.4703
Belgium,2008,138989.5683
Belgium,2009,126354.1083
Belgium,2010,133645.7668
Belgium,2011,123133.6903
Belgium,2012,120361.6043
Belgium,2013,120458.3198
Belgium,2014,114768.4362
Belgium,2015,118955.4663
Belgium,2016,117417.8806
Belgium,2017,117097.8781
Belgium,2018,117594.0395
Belgium,2019,116448.1849
Belgium,2020,106433.2583
Bulgaria,1990,98356.81327
Bulgaria,1991,80200.03122
Bulgaria,1992,74601.94973
Bulgaria,1993,74018.32556
Bulgaria,1994,70137.93515
Bulgaria,1995,71677.01923
Bulgaria,1996,72110.0355
Bulgaria,1997,68918.22786
Bulgaria,1998,64862.57834
Bulgaria,1999,57845.80965
Bulgaria,2000,56965.7657
Bulgaria,2001,59940.02999
Bulgaria,2002,57346.44554
Bulgaria,2003,62198.19755
Bulgaria,2004,61426.28117
Bulgaria,2005,62067.18546
Bulgaria,2006,62777.42856
Bulgaria,2007,66754.51807
Bulgaria,2008,65501.8739
Bulgaria,2009,56638.44881
Bulgaria,2010,59321.2148
Bulgaria,2011,64625.47704
Bulgaria,2012,59659.34124
Bulgaria,2013,55591.15342
Bulgaria,2014,58876.25747
Bulgaria,2015,62269.03207
Bulgaria,2016,60140.86231
Bulgaria,2017,63332.78323
Bulgaria,2018,60309.80643
Bulgaria,2019,59472.62319
Bulgaria,2020,49185.62315
